dteday,hr,datetime,cnt,temp,hum,windspeed,traffic_factor,weather_condition,holiday_flag,weekend_flag,area_name,bike_model,event_name,base_price,surge_multiplier,final_price,zone
2024-04-25,0,2024-04-25 00:00:00,656,30.4,39.9,7.5,0.78,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,1,2024-04-25 01:00:00,683,32.8,50.3,8.6,0.76,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,2,2024-04-25 02:00:00,617,30.6,45.9,4.2,0.78,Cloudy,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-04-25,3,2024-04-25 03:00:00,744,33.1,42.8,1.5,0.72,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,4,2024-04-25 04:00:00,634,30.5,53.9,11.8,0.71,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,5,2024-04-25 05:00:00,856,32.3,51.4,2.0,0.81,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,6,2024-04-25 06:00:00,967,31.3,54.9,5.0,0.78,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,7,2024-04-25 07:00:00,500,26.9,45.3,6.0,0.88,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-04-25,8,2024-04-25 08:00:00,1133,34.8,49.7,1.6,0.79,Cloudy,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-04-25,9,2024-04-25 09:00:00,1078,32.1,52.6,5.9,0.86,Cloudy,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-04-25,10,2024-04-25 10:00:00,965,33.1,56.1,1.7,0.75,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,11,2024-04-25 11:00:00,821,33.0,52.9,1.2,0.74,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,12,2024-04-25 12:00:00,750,29.3,55.4,15.1,0.72,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,13,2024-04-25 13:00:00,696,33.1,51.8,10.9,0.75,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,14,2024-04-25 14:00:00,731,31.9,58.6,0.8,0.77,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,15,2024-04-25 15:00:00,694,29.7,40.2,5.9,0.78,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,16,2024-04-25 16:00:00,667,26.7,41.8,1.5,0.74,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,17,2024-04-25 17:00:00,825,28.9,50.2,8.0,0.78,Foggy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,18,2024-04-25 18:00:00,1029,28.6,44.6,3.8,0.77,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,19,2024-04-25 19:00:00,1014,31.4,60.0,24.9,0.79,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-04-25,20,2024-04-25 20:00:00,664,33.4,47.5,0.1,0.79,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,21,2024-04-25 21:00:00,802,29.8,43.8,0.4,0.72,Clear,1,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,22,2024-04-25 22:00:00,690,28.5,46.6,6.8,0.74,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-04-25,23,2024-04-25 23:00:00,706,29.7,54.7,2.1,0.78,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
